step,val/auc,val/cls_loss,val/loss,val/pos_class_ratio_pred,val/pos_class_ratio_true,val/precision,val/recall,val/threshold,val/tres_loss,train/auc,train/cls_loss,train/epoch,train/loss,train/lr,train/pos_class_ratio_pred,train/pos_class_ratio_true,train/precision,train/recall,train/threshold,train/tres_loss
0,0.4770583112159601,0.6811981869906913,466.3003659829861,0.8184809583078823,0.08514132076580802,0.09362075506753328,0.8999954973209059,0.40326592326164246,465.619166205569,,,,,,,,,,,
1,0.4790582921083106,0.66051902930911,465.0393332388343,0.815799965752812,0.08514132076580802,0.09392842429758098,0.8999954973209059,0.3963836133480072,464.3788136389197,0.48872705911654873,0.6736313194036484,0,517.7161087036133,4.191192335045501e-06,0.8111238444495378,0.07654773728576159,0.08493456911059202,0.8999933461973518,0.40204524993896484,517.0424819946289
2,0.4837261659357126,0.6084409167126912,461.9402815772266,0.8105108198112315,0.08514132076580802,0.09454137249275536,0.8999954973209059,0.3759327232837677,461.33183811932076,0.48594772118525664,0.6352530390024185,0,454.3476959228516,8.166471706591128e-06,0.8154092114067393,0.07589169420622233,0.08376346780255575,0.8999865392381209,0.3865647315979004,453.71244049072266
3,0.48864831445249757,0.5468026334192695,457.84932726185497,0.8059245079522481,0.08514132076580802,0.09507938345228034,0.8999954973209059,0.3411807715892792,457.302526671712,0.5041154119508358,0.5740489721298218,0,732.8406417846679,1.2125881720524978e-05,0.800301967909512,0.07676126621797989,0.08632256166582462,0.8999866648886519,0.3619879186153412,732.2665916442871
4,0.49292356683366584,0.4958572267759137,454.2460252250113,0.7961078326385925,0.08514132076580802,0.09625179175943152,0.8999954973209059,0.30241841077804565,453.7501685677505,0.5007579369400499,0.5191498652100563,0,1035.6833038330078,1.6069485727491673e-05,0.8026581751328071,0.08157865334024032,0.0914676199816508,0.8999564215899895,0.32247644662857056,1035.1641487121583
5,0.49839265819556444,0.4291885193528199,452.8643758122514,0.7816907887843015,0.08514132076580802,0.0980270030357572,0.8999954973209059,0.2622704803943634,452.4351906427523,0.5024702564718918,0.45395241528749464,0,381.6359607696533,1.999734682523946e-05,0.7971710388675991,0.0733519413388579,0.08281057968045882,0.8999652173913043,0.27941441535949707,381.18200798034667
6,0.5024660389136861,0.3767298187424497,451.94952529814185,0.7686206306082966,0.08514132076580802,0.09969392216878006,0.8999954973209059,0.22513893246650696,451.5727914949743,0.5099713453735326,0.38620946258306504,0,661.3343040466309,2.3909527859629743e-05,0.7852359231743223,0.07477129766644801,0.08569541312921337,0.8999591947769314,0.23866041004657745,660.9481025695801
7,0.5016187473453401,0.3667795781682177,450.7032747966487,0.7629263966591101,0.08514132076580802,0.1004380051086638,0.8999954973209059,0.1993499994277954,450.33649546925614,0.5165697786396555,0.3596072107553482,0,795.549296951294,2.78060914256425e-05,0.7681120428841195,0.07880870677577209,0.09233717741136041,0.8999677938808374,0.21147392690181732,795.1896766662597
8,0.5022810883274675,0.35533292337161737,449.19896944557746,0.7512363490452958,0.08514132076580802,0.1020009287657112,0.8999954973209059,0.17483283579349518,448.8436341402007,0.5161707704963263,0.3431188687682152,0,904.594235610962,3.168709986837792e-05,0.7602184834557887,0.07648449521557918,0.09054168174689348,0.899940043967757,0.18503481149673462,904.2511260986328
9,0.5107205870500942,0.34387989196835494,447.5468928406878,0.7515698757644917,0.08514132076580802,0.1019556634667374,0.8999954973209059,0.16233587265014648,447.2030123966496,0.5204118625469567,0.33599507063627243,0,790.0890563964844,3.5552615284053844e-05,0.7509467530817131,0.07857161011564366,0.09416503079943139,0.8999805913178495,0.16679100692272186,789.7530620574951
10,0.5205778475537951,0.3309951886171248,445.7268040354659,0.7459318685419132,0.08514132076580802,0.10272627911040454,0.8999954973209059,0.1608746200799942,445.39581182526376,0.5207070317246878,0.3281246215105057,0,406.36456565856935,3.940269952099951e-05,0.7432683427398666,0.07775782452539765,0.09415102545163362,0.8999670075882547,0.163824200630188,406.03643493652345
11,0.5264171854688549,0.31474184263043287,444.7390473296003,0.7650796247121575,0.08514132076580802,0.10015533396803127,0.8999954973209059,0.15409018099308014,444.424305613448,0.5392433569369618,0.3035262003540993,0,569.8136638641357,4.323741418064464e-05,0.7351112657534807,0.07480312946124759,0.09158110882956878,0.899993159586839,0.1588156819343567,569.5101402282714
12,0.5518895885661678,0.3085252673524182,444.6979938251216,0.7386645641278595,0.08514132076580802,0.10373694508502021,0.8999954973209059,0.1479739099740982,444.38946953052425,0.5501752224461152,0.29694435000419617,0,658.9762886047363,4.7056820618505804e-05,0.7522847547323428,0.07828719723183392,0.09365593652554469,0.8999675008124797,0.15255260467529297,658.6793514251709
13,0.5379662896171458,0.30270578475987037,443.1584272035738,0.7613724943964956,0.08514132076580802,0.10064299129418991,0.8999954973209059,0.1432802528142929,442.8557214504335,0.5417674466070612,0.2863998129963875,0,774.1871307373046,5.086097994516736e-05,0.7636097437839202,0.07809163195759182,0.0920384523841007,0.8999870700801655,0.14461344480514526,773.9007354736328
14,0.507866336554947,0.3022836503095743,443.2348193889711,0.8071691632185201,0.08514132076580802,0.0949327709939254,0.8999954973209059,0.14433275163173676,442.9325342876155,0.5287502916446506,0.2834801018238068,0,686.609814453125,5.464995302725973e-05,0.7760005269264482,0.07701739363938978,0.08931835988508749,0.8999407933688574,0.14390626549720764,686.326337814331
15,0.5354598573224467,0.29455391408466713,442.51556712825123,0.7806237588589041,0.08514132076580802,0.09816099555718528,0.8999954973209059,0.13067489862442017,442.22101104550245,0.535320258762882,0.27467310056090355,0,489.9814849853516,5.84238004884331e-05,0.7732239051261501,0.07684152861331196,0.08943964103438776,0.8999933989042181,0.13366350531578064,489.7068096160889
16,0.5378629745957729,0.29208468264195975,442.3536537682138,0.7844778453918364,0.08514132076580802,0.09767873723305479,0.8999954973209059,0.1297125667333603,442.0615719818487,0.5578049681661637,0.27023261338472365,0,540.3057876586914,6.218258271032728e-05,0.7558228048574888,0.07734278810048074,0.0920956578164711,0.8999933945438933,0.1274484246969223,540.0355522155762
17,0.585208072706593,0.28455406318350535,442.59585643396144,0.7392651677984425,0.08514132076580802,0.10365266573208022,0.8999954973209059,0.12107784301042557,442.3113042319693,0.5482422590222555,0.2697783216834068,0,905.2610160827637,6.592635983353801e-05,0.7768456375838926,0.0770998576367704,0.08931867268800314,0.8999604326035346,0.1260738968849182,904.9912452697754
18,0.5830370574328053,0.2888450569859365,442.23769574049044,0.7480390929095542,0.08514132076580802,0.10243689942344651,0.8999954973209059,0.12311602383852005,441.94885407424556,0.5710480110683898,0.2728904262185097,0,851.1061367034912,6.965519175857927e-05,0.7559102890267716,0.07941735792108738,0.09455367079216268,0.8999807408358477,0.12124381214380264,850.8332416534424
19,0.5659214806278242,0.2862303009847315,442.0019524271895,0.7807055431885155,0.08514132076580802,0.09815071251092582,0.8999954973209059,0.1168709397315979,441.71572078146585,0.577792315757081,0.26180601567029954,0,457.2652980804443,7.336913814684121e-05,0.750901682292435,0.07469846421504042,0.08952645484723257,0.8999591391991283,0.11982542276382446,457.00349006652834
20,0.5785446903364987,0.28361660750900825,441.3236221220435,0.7648866648094809,0.08514132076580802,0.10018060040864811,0.8999954973209059,0.11832728236913681,441.0400056838989,0.5930342097039649,0.26037264838814733,0,442.70199432373045,7.706825842154541e-05,0.7396103630754143,0.07635412622846985,0.09291066680479299,0.89998662028365,0.11641842871904373,442.44162521362307
21,0.6363714367436262,0.27835501421515535,441.31932694737503,0.7144308449599129,0.08514132076580802,0.10725573491928632,0.8999954973209059,0.11725731194019318,441.0409723840109,0.6189488120679414,0.2555048868060112,0,652.7670082092285,8.075261176869508e-05,0.7215865046485244,0.07578814433783555,0.0945219123505976,0.8999525841631105,0.11585550755262375,652.5115188598633
22,0.6242936763330178,0.27825165103848387,440.6299558965171,0.7330086665831785,0.08514132076580802,0.10453737973163091,0.8999954973209059,0.11564809828996658,440.35170189927265,0.6418366322141427,0.2628344655036926,0,1142.7344192504884,8.442225713802244e-05,0.7116029887182526,0.08073420734105198,0.1021071669513543,0.8999873481781376,0.1175278052687645,1142.47156829834
23,0.6508590300800003,0.2773590974691438,440.9295700119763,0.7090752492505233,0.08514132076580802,0.10806582997527411,0.8999954973209059,0.11646763235330582,440.6522098285396,0.6203603034424033,0.25472617968916894,0,775.7139427185059,8.807725324393167e-05,0.7248935618257009,0.07610138712975538,0.0944782434793592,0.8999398435933427,0.11431372165679932,775.4592277526856
24,0.6632538432969405,0.2758584335082915,440.65832369502,0.6979244670600834,0.08514132076580802,0.10979240439579756,0.8999954973209059,0.12065225839614868,440.38246646741544,0.6624122854147713,0.25125374346971513,0,395.1058715820312,9.171765856643854e-05,0.6840207073316517,0.07573270927676301,0.09963862024022868,0.8999398033576349,0.11906368285417557,394.8546226501465
25,0.6697772573744679,0.27038278085429496,440.0209491078447,0.7077347529729882,0.08514132076580802,0.10827051378118031,0.8999954973209059,0.1239934042096138,439.75056536604717,0.658829558681939,0.2544334404170513,0,515.7547615051269,9.534353135210561e-05,0.6995179130399144,0.07769745841295539,0.09996264858174468,0.8999736252142951,0.1189405545592308,515.5003356933594
26,0.6687579453249294,0.26886044188243585,440.45148756445906,0.7179667393354512,0.08514132076580802,0.10672751414098626,0.8999954973209059,0.1255122572183609,440.18262918984016,0.6840279030919205,0.24750071614980698,0,760.9765007019043,9.89549296149751e-05,0.6959976637668686,0.07733648929738814,0.10000073611141783,0.8999668764491553,0.12347834557294846,760.7290008544921
27,0.6769308593954579,0.26981341439049417,439.811780301536,0.6970286730748096,0.08514132076580802,0.10993350529922616,0.8999954973209059,0.12436092644929886,439.5419657870037,0.6796955792102648,0.24758219122886657,0,629.6902046203613,0.00010255191113749607,0.6916432240704501,0.07637699771689498,0.09938327549238489,0.8999799826516314,0.12408851832151413,629.442624282837
28,0.6910039663765308,0.26946129504500366,439.3996938612403,0.6851341646369671,0.08514132076580802,0.11184204390943563,0.8999954973209059,0.11887836456298828,439.1302325318499,0.6968468318995837,0.25639883428812027,0,850.60514793396,0.00010613453347144963,0.6761357877024753,0.08118271940316663,0.10806029668608094,0.8999875140466974,0.12476108223199844,850.3487403869628
